Songs,Lyrics
Selah,"[Verse 1: Kanye West]God is King, we the soldiersUltrabeam out the solarWhen I get to Heaven's gatesI ain’t gotta peek overKeepin' perfect composureWhen I scream at the chauffeurI ain't mean, I’m just focusedI ain't mean, I'm just focusedPour the lean out slowerGot us clean out of sodaBefore the flood, people judgeThey did the same thing to NoahEverybody wanted YandhiThen Jesus Christ did the laundryThey say the week start on MondayBut the strong start on SundayWon't be in bondage to any manJohn 8:33We the descendants of AbrahamYe should be made freeJohn 8:36To whom the son set free is free indeedHe saved a wretch like me[Chorus: Sunday Service Choir]Hallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, hallelujah, hallelujah, hallelujahHallelujah, He is wonderful"
Follow God,"[Intro]Father, I stretchStretch my hands to You[Verse]Lifelike, this is what your life like, try to live your life rightPeople really know you, push your buttons like typewriteThis is like a movie, but it's really very lifelikeEvery single night, right, every single fight, right?I was looking at the 'Gram and I don't even like likesI was screamin' at my dad, he told me, ""It ain't Christ-like""I was screamin' at the referee just like MikeLookin' for a bright light, Sigel, what your life likeRiding on a white bike, feeling like Excitebike (Stretch my hands to You)Pressin' on the gas, supernova for a night lightScreamin' at my dad and he told me, ""It ain't Christ-like""But nobody never tell you when you're being like ChristOnly ever seein' me only when they needin' meLike if Tyler Perry made a movie for BETSearchin' for a deity, now you wanna see it freeNow you wanna see if we, let's just see if three apieceTell me what your life like, turn it down, a bright lightDrivin' with my dad, and he told me, ""It ain't Christ-like"" (Stretch my hands to You)I'm just tryna find, l've been lookin' for a new wayI'm just really tryin' not to really do the fool wayI don't have a cool way, bein' on my best, thoughBlock 'em on the text though, nothin' else next thoughNot another word, letter, picture, or a decimal (Father, I stretch)Wrestlin' with God, I don't really want to wrestleMan, it's really lifelike, everything in my life (Stretch my hands to You)Arguing with my dad, and he said, ""It ain't Christ-like"""
Closed On Sunday,"[Chorus]Closed on Sunday, you're my Chick-fil-AClosed on Sunday, you my Chick-fil-AHold the selfies, put the 'Gram awayGet your family, y'all hold hands and prayWhen you got daughters, always keep 'em safeWatch out for vipers, don't let them indoctrinateClosed on Sunday, you my Chick-fil-AYou're my number one, with the lemonadeRaise our sons, train them in the faithThrough temptations, make sure they're wide awakeFollow Jesus, listen and obeyNo more livin' for the culture, we nobody's slave[Verse]Stand up for my homeEven if I take this walk aloneI bow down to the King upon the throneMy life is His, I'm no longer my ownI pray to God that He'll strengthen my handThey will think twice steppin' onto my landI draw the line, it's written in the sandTry me and you will see that I ain't playin'Now, back up off my family, move your handsI got my weapons in the spirit's landI, Jezebel don't even stand a chanceJezebel don't even stand a chance"
On God,"[Intro]Yo, Pi'erre, yo, Pi'erre[Verse]""How you get so much favor on your side?""""Accept Him as your Lord and Saviour,"" I repliedThou shalt love thy neighbor, not divideI'ma ride, that's on GodHis light shine the brightest in the darkSingle mothers know they got my heartAnd all my brothers locked up on the yardYou can still be anything you wanna beWent from one in four to one in threeThirteenth amendment, gotta end it, that's on meHe the new commander and the chiefThat's on Keef, that's on GodBefore the ranch, I had horses in the garageWhen the Forbes cover was just a mirageThey had me chasin' statues, that's on pride""Oh my God,"" Bust said that's on TribeWhen I thought the Book of Job was a jobThe Devil had my soul, I can't lieLife gon' have some lows and some highsBefore the Grammy's ever gave a nodI wore my heart on my sleeve, I couldn't hideIn '03, they told me not to driveI bleached my hair for every time I could've diedBut I survived, that's on GodI've been tellin' y'all since '05The greatest artist restin' or aliveThat's on L.A. Reid, that's on CliveThat's no Jive, that's on GodOff the 350s He suppliedThe IRS want they fifty plus our titheMan, that's over half of the pieI felt dry, that's on GodThat's why I charge the prices that I chargeI can't be out here dancin' with the starsNo, I cannot let my family starveI go hard, that's on God"
Everything We Need,"[Intro: Ty Dolla $ign & Ant Clemons]We began after the storm insideLay the land (Ah), it's just the morning light (Woo, woo)Woo, woo, oh yeah[Verse 1: Kanye West & Ant Clemons]Woo-ooh, ooh-oohSwitch your⁠, switch your attitudeGo 'head, level up yourselfThis that different latitudeOoh-ooh, ooh-oohLife too short, go spoil yourselfFeel that feel, enjoy yourself 'cause[Refrain: Ant Clemons & Ty Dolla $ign]We have everything we need (Ooh-ooh, ooh-ooh, oh)We have everything we need (Ooh-ooh, ooh-ooh, oh, oh)We have everything we need (Ooh-ooh, ooh-ooh, oh)We have everything we need (Ooh-ooh, ooh-ooh, oh, woah)We have everything we need[Chorus: Ty Dolla $ign]We began after the storm insideLay the land (Ah), it's just the morning light (Oh, yeah)[Verse 2: Kanye West & Ant Clemons]Switch my, switch my attitudeI'm so, I'm so radicalAll these people mad at dudeThis for who it matter toWhat if Eve made apple juice?You gon' do what Adam do?Or say, ""Baby, let's put this back on the tree"" 'cause"
Water,"[Intro: Kanye West]Well, rightSo, so wellWell, rightSo, soHigh as the sun come outPlannin'Bootin'Plannin'Movin'Plannin'Tubin', thereWell, well[Chorus: Ant Clemons]Clean us like the rain in springTake the chlorine out our conversationLet Your light reflect on meI promise I'm not hiding anythingIt's waterWe are waterPure as waterLike a newborn daughter[Verse 1: Ant Clemons]The storm may comeBut we'll get through it because of Your loveEither way, we crash like waterYour love's waterPure as waterWe are water"
God Is,"[Intro]God isMy light in darkness, ohGod, God isHe, He is my all and all (And I'll never turn back)God is[Verse]Everything that hath breath praise the LordWorship Christ with the best of your portionsI know I won't forget all He's doneHe's the strength in this race that I runEvery time I look up, I see God's faithfulnessAnd it shows just how much He is miraculousI can't keep it to myself, I can't sit here and be stillEverybody, I will tell 'til the whole world is healedKing of Kings, Lord of Lords, all the things He has in storeFrom the rich to the poor, all are welcome through the doorYou won't ever be the same when you call on Jesus' nameListen to the words I'm sayin', Jesus saved me, now I'm saneAnd I know, I know God is the force that picked me upI know Christ is the fountain that filled my cupI know God is alive, yeahHe has opened up my visionGiving me a revelationThis ain't 'bout a dead religionJesus brought a revolutionAll the captives are forgivenTime to break down all the prisonsEvery man, every womanThere is freedom from addictionJesus, You have my soulSunday Service on a rollAll my idols, let 'em goAll the demons, let 'em knowThis a mission, not a showThis is my eternal soulThis my kids, this the cribThis my wife, this my lifeThis my God-given rightThank You, Jesus, won the fight"
Hands On,"[Refrain: Fred Hammond]Hand 'emHands up high, hands on, hands onHands on, hands upIn your face, the reasonHands on, yeah, hands on[Verse 1: Kanye West]Cut out all the lights, He the lightGot pulled over, see the brightsWhat you doin' on the street at night?Wonder if they're gonna read your rightsThirteenth Amendment, three strikesMade a left when I should've made a rightTold God last time on lifeTold the devil that I'm going on a strikeTold the devil when I see him, on sightI've been working for you my whole lifeTold the devil that I'm going on a strikeI've been working for you my whole lifeNothing worse than a hypocriteChange, he ain't really differentHe ain't even try to get permissionAsk for advice and they dissed himSaid I'm finna do a gospel albumWhat have you been hearin' from the Christians?They'll be the first one to judge meMake it feel like nobody love meThey'll be the first one to judge meFeelin' like nobody love meTold people God was my missionWhat have you been hearin' from the Christians?They'll be the first one to judge meMake it feel like nobody love meMake you feel alone in the dark and you'll never see the lightMan, you're never seein' home and you never see the domesI can feel it when I write, point of livin' in the rightIf they only see the wrongs, never listen to the songsJust to listen is a fight, but you booked me for the fightIt's so hard to get along if they only see the slightFrom the love of religionWhat have you been hearin' from the Christians?They'll be the first one to judge meMake it seem like nobody love meI'm not tryna lead you to VisasBut if I try to lead you to JesusWe get called halfway believersOnly halfway read EphesiansOnly if they knew what I knew, uhI was never new 'til I knew ofTrue and living God, YeshuaThe true and living God(Somebody pray for me)"
Use This Gospel,"[Intro: Kanye West]Oh, oh, oh, oh, oh, ohOh, oh, oh, oh-oh, oh, ohOh, oh, oh, oh, oh, ohOh, oh, oh, oh-oh, oh, oh[Chorus: Kanye West]Use this gospel for protectionIt's a hard road to HeavenWe call on Your blessingsIn the Father, we put our faithKing of the kingdomOur demons are tremblin'Holy angels defendin'In the Father, we put our faith[Post-Chorus: Kanye West]Oh, oh, oh, oh, oh, ohOh, oh, oh, oh-oh, oh, oh[Verse 1: Pusha T]How could He not be the greatest?In my bed, under covers when undercovers had raidedMy presence is happy belatedFashionably late, I'm just glad that you made itThe best is yet to come, I'm just glad that you waitedThey all say they real 'til it's time to appraise itI seen them come and go, you only the latestBut who am I to judge? I'm crooked as Vegas"
Jesus Is Lord,[Verse: Kanye West]Every knee shall bowEvery tongue confessJesus is LordJesus is LordEvery knee shall bowEvery tongue confessJesus is LordJesus is Lord
Feel The Love,
Fire,
4th Dimension,
Freeee (Ghost Town Pt. 2),
Reborn,
Kids See Ghosts,
Cudi Montage,
I Thought About Killing You,"[Intro: Francis and the Lights & Kanye West]I know, I know, I know, I know, knowI know, I know, I know, I know, knowI, I know it, I know it[Spoken Word: Kanye West]The most beautiful thoughts are always besides the darkestToday, I seriously thought about killing youI contemplated, premeditated murderAnd I think about killing myselfAnd I love myself way more than I love you, so…Today, I thought about killing you, premeditated murderYou'd only care enough to kill somebody you loveThe most beautiful thoughts are always besides the darkest(Mhm—mhm—mhm—mhm—mhmm)Just say it out loud to see how it feelsPeople say ""don't say this, don't say that""Just say it out loud, just to see how it feelsWeigh all the options, nothing's off the tableToday, I thought about killing you, premeditated murderI think about killing myselfAnd I, I love myself way more than I love youThe most beautiful thoughts are always besides the darkest(Mhm—mhm—mhm—mhm—mhm—mhm—mhm—mhm—mhmm)I think this is the part where I'm supposed to say somethin' good to compensate it so it doesn't come off badBut sometimes I think really bad thingsReally, really, really bad thingsAnd I love myself way more than I love youSee, if I was tryin' to relate it to more peopleI'd probably say I'm struggling with loving myselfBecause that seems like a common themeBut that's not the case hereI love myself way more than I love youAnd I think about killing myselfSo, best believe, I thought about killing you todayPremeditated murder"
Yikes,"[Chorus]Shit could get menacin', frightenin', find helpSometimes I scare myself, myselfShit could get menacin', frightenin', find helpSometimes I scare, myself, myself[Verse 1]Tweakin', tweakin' off that 2C-B, huhIs he gon' make it? TBD, huhThought I was gon' run, DMC, huhI done died and lived again on DMT, huhSee, this a type of high that won't come downThis the type of high that get you gunned downYeezy, Yeezy trollin' OD, huhTurn TMZ to Smack DVD, huhRussell Simmons wanna pray for me tooI'ma pray for him 'cause he got MeToo'dThinkin' what if that happened to me tooThen I'm on E! News[Chorus]Shit could get menacin', frightenin', find helpSometimes I scare myself, myselfShit could get menacin', frightenin', find helpSometimes I scare myself, myself"
All Mine,"[Chorus: Ant Clemons]Yeah, you supermodel thickDamn, that ass bustin' out the bottomI'ma lose my mind in itCrazy, that medulla oblongataGet to rubbin' on my lampGet the genie out the bottle[Bridge: Ty Dolla $ign & Ant Clemons]Fuck it up, fuck it upPussy good, go 'n back it upPipe her up, I'ma pipe her upMake her mine, I done fell in loveJuicy thing, make that pussy singOne more time, baby, do it bigMake it cry, come boohoo this shit[Chorus: Ant Clemons]Yeah, you supermodel thickDamn, that ass bustin' out the bottomI'ma lose my mind in itCrazy, that medulla oblongataGet to rubbin' on my lampGet the genie out the bottle[Verse 1: Kanye West]If I pull up with a Kerry WashingtonThat's gon' be an enormous scandalI could have Naomi CampbellAnd still might want me a Stormy DanielsSometimes you gotta bag the boss upI call that takin' Corey GamblesFind yourself up in the food courtYou might have to enjoy a sampleAll these thots on Christian MingleAlmost what got Tristan singleIf you don't ball like him or KobeGuarantee that bitch gonna leave youAyy, time is extremely valuableAnd I prefer to waste it on girls that's basicThat's just some Ye shitRight now, let's do what we wantLet's have a threesome: me, you, and a bluntI love your titties 'cause they proveI can focus on two things at once"
Wouldn't Leave,
No Mistakes,"[Intro: Slick Rick]Believe it or notBelieve it or not[Chorus: Charlie Wilson & Kid Cudi]Make no mistake, girl, I still love youMake no mistake, girl, I still love youMake no mistake, girl, I still love youMake no mistake, girl, I still love you[Verse: Kanye West & Slick Rick]Take the top off, let the sun come in (The Lord still shines on you)Whoa, for all my dogs that stayed down, we up again (Again)Oh, I got dirt on my name, I got white on my beardI had debt on my books, it's been a shaky-ass yearLet me make this clear, so all y'all seeI don't take advice from people less successful than meHah? Ain't no love lost, but the gloves offAnd we up in this bitch until they turn the club offHad to tell the dogs, ""Turn the snubs off""Plus they already mad that the Cubs lost(Believe it or not) These two wrongs'll right you(Believe it or not) I was too grown in high school(Believe it or not) The true soul of Ice CubeToo close to snipe you, truth told, I like youToo bold to type you, too rich to fight youCalm down, you light skin"
Ghost Town,"[Intro: Shirley Ann Lee]Someday, somedaySomeday I'll, I wanna wear a starry crown[Verse 1: PARTYNEXTDOOR]Someday, someday, somedayI wanna lay down, like God did, on SundayHold up, hold upSomeday, somedays, I remembered this on a SundayBackway, yeah, way, way, burning, mhm-mhmUh, somedays, I'm gonna tell everybodySomedays I wanna hit the red dot on everybodySomedays, ohh (Heatstroke)Everyday I'm livin' high, I'm smokin' marijuanaEveryday I'm livin' high, I do whatever I wanna, oh, yeah[Chorus: Kid Cudi]I've been tryin' to make you love meBut everything I try just takes you further from me[Verse 2: Kanye West]Someday we gon' set it offSomeday we gon' get this offBaby, don't you bet it allOn a pack of fentanylYou might think they wrote you offThey gon' have to rope me offSomeday the drama'll be goneAnd they'll play this song on and onSometimes I take all the shineTalk like I drank all the wineYears ahead but way behindI'm on one, two, three, four, fiveNo half-truths, just naked mindsCaught between space and timeThis not what they had in mindBut maybe someday"
Violent Crimes,"[Intro: 070 Shake]Fallin', dreamin', talkin' in your sleepI know you want to cry all night, all nightPlottin', schemin', findin'Reason to defend all of your violent nightsPromise me you will see[Chorus: 070 Shake]Don't you grow up in a hurry, your mom'll be worried, awIt was all part of the story, even the scary nightsThank you for all of the glory, you will be remembered, awThank you to all of the heroes of the night (Night, night)They gotta repaint the colors, the lie is wearin' offReality is upon us, colors drippin' offColors drippin' off[Verse: Kanye West]Niggas is savage, niggas is monstersNiggas is pimps, niggas is players'Til niggas have daughters, now they precautiousFather, forgive me, I'm scared of the karma'Cause now I see women as somethin' to nurtureNot somethin' to conquerI hope she like Nicki, I make her a monsterNot havin' ménages, I'm just bein' sillyI answered the door like Will Smith and MartinNigga, do we have a problem?Matter fact, Marlon, this ain't Meet the FockersI'll beat his ass, pray I beat the chargesNo, Daddy don't play, not when it come to they daughtersDon't do no yoga, don't do pilatesJust play piano and stick to karateI pray your body's draped more like mineAnd not like your mommy'sJust bein' salty, but niggas is nutsAnd I am a nigga, I know what they wantI pray that you don't get it all at onceCurves under your dress, I know it's pervs all on the netAll in the comments, you wanna vomitThat's your baby, you love her to deathNow she cuttin' class and hangin' with friendsYou break a glass and say it againShe can't comprehend the danger she inIf you whoop her ass, she move in with himThen he whoop her ass, you go through it againBut how you the devil rebukin' the sin?Let's pray we can put this behind usI swear that these times is the wildestShe got the scars, they serve as remindersBlood still on her pajamasBut yesterday is dead, yeah, moment of silenceNext, she'll be off to college and then at the altar'Cause she know that niggas is savage, niggas is monstersNiggas is pimps, niggas is players, 'til niggas have daughtersNiggas is pimps, niggas is players, 'til niggas have daughters"
Ultralight Beam,"[Intro: Samoria Green & Natalie Green](Yes, God)We don't want no devils in the house, God (Yes, Lord)We want the lord (Yes, Jesus)And that's it (Yes, God)Hallej— hand over Satan (Yes, Jesus)Jesus praise the Lord (Yes, God)Hallelujah, God (Yes, God)We don't want no devils in the house, God (Yes, Lord)We want the lord (Yes, Jesus)And that's it (Yes, God)Hallej— hand over Satan (Yes, Jesus)Jesus praise the Lord (Yes, God)[Chorus: Kanye West & The-Dream]I'm tryna keep my faithWe on an ultralight beamWe on an ultralight beamThis is a God dreamThis is a God dreamThis is everythingThis is everything[Verse 1: Kanye West]Deliver us serenityDeliver us peaceDeliver us lovingWe know we need itYou know we need itYou know we need itThat's why we need You now, ohPray for ParisPray for the parentsThis is a God dreamThis is a God dreamThis is a God dream"
Father Stretch My Hands Pt. 1,
Pt. 2,
Famous,"[Intro: Rihanna & Kanye West]Man, I can understand how it might beKinda hard to love a girl like meI don't blame you much for wanting to be freeI just wanted you to knowWoo, wooSwizz told me let the beat rock (Oh)Oh[Verse 1: Kanye West & Swizz Beatz]For all my Southside niggas that know me bestI feel like me and Taylor might still have sexWhy? I made that bitch famous (Goddamn)I made that bitch famousFor all the girls that got dick from Kanye WestIf you see 'em in the streets, give 'em Kanye's bestWhy? They mad they ain't famous (Goddamn)They mad they still nameless (Talk that talk, man)Her man in the store tryna try his bestBut he just can't seem to get Kanye freshBut we still hood famous (Goddamn)Yeah, we still hood famous[Chorus: Rihanna & Swizz Beatz]I just wanted you to knowI've loved you better than your own kin didFrom the very startI don't blame you much for wanting to be freeWake up, Mr. West! Oh, he's up!I just wanted you to know"
Feedback,"[Chorus]Ayy, ya heard about the good news?Y'all sleeping on me, huh? Had a good snooze?Wake up, nigga, wake upWe 'bout to get this paper[Verse 1]Money never made meMake me do something? Nah, can't make meEven if the money low, can't pay meEven if the money low, can't play me[Chorus]Ayy, ya heard about the good news?Y'all sleeping on me, huh? Had a good snooze?Wake up, nigga, wake upWe 'bout to get this paper[Verse 2]Pablo bought a Rolie and a rottweilerSeem like the more fame, I only got wilderHands up, we just doing what the cops taught usHands up, we just doing what the cops taught usI've been outta my mind a long timeI've been outta my mind a long timeI be saying how I feel at the wrong timeMight not come when you want but I'm on time"
Low Lights,"[Spoken Word: Kelly Price]You want me to give you a testimony about my lifeAnd how good He's been to meI don't know what to tell you about HimI love Him so much with all my heart and my soulWith every bone in my body, I love Him so muchBecause He's done so much for meEvery morningEvery day of my lifeI won't always be crying tearsIn the middle of the night, and I won't always have to wake upBy myself wondering how I'm gonna get through the dayI won't always have to think about what I'm gonna doAnd how I'm gonna, how I'm gonna make itHow I'm gonna get there because He...He's gonna be there for meSomeday, the sky above will open upAnd He will reach out His hand and guide me throughOh, yes, He willI won't always be crying these tearsI won't always be feeling so blueSomeday, He will open up the door for meAnd call my nameSomeday, He willI don't know if anybody understands what that feels likeNo matter what you've been throughOr where you've been, He's always thereWith His arms open wideAccepting meFor who I amAnd I love Him so muchI couldn't do it without Him, I wouldn't want toOh, I'm crying nowFeels so good to be freeTo be accepted for who you are and loved no matter whatOh, Lord, thank YouYou are the joy of my life"
Highlights,"[Intro: Kanye West with Kelly Price & Young Thug]High as lightTell my baby I'm back in townHigh, high, my lightTell everybody I'm back in townHigh, highlightTell my baby I'm back in town, townHighlight[Chorus: Kanye West & Young Thug]We only makin' the highlightsTell lil' mama, tell lil' mamaThat I only want my whole life to only be highlightsWe only makin' the highlightsTell lil' mama, tell lil' mamaThat I only want my whole life to only be highlights[Verse 1: Kanye West & Young Thug]Can we play that back one time? (Highlight)And after that night, I'm gon' wanna play this shit back, oh no (Highlight)Sometimes, I'm wishin' that my dick had GoPro (Highlight, highlight)So I could play that shit back in slow mo (Slow motion)I just shot an amateur video; I think I should go pro, go[Chorus: Kanye West, Young Thug & El Debarge]We only makin' the highlights(Slow motion, slow motion, slow motion)Dying in the sunlightWe only makin' the highlightsTell lil' mama, tell lil' mamaThat I only want my whole life to only be highlightsYeah, just in"
Freestyle 4,"[Intro: Kanye West]This that rap god shit, niggaI rip every one of these mothafuckas down, ayyRah, rah, rahRah, rah[Verse 1: Kanye West]Closed eyes, see thingsFire up, tweakingYou in my freak dreamsYou in my freak dreamsBad bitch, you dig thatGet stacks, drive cars, whip outBitch out, tits outOh shit, my dick outCan she suck it right now?Fuck, can she fuck right now?I done asked twice nowCan you bring your price down?Lil Boosie with the wipe downA little woozy but I'm nice nowWhat the fuck right now?What the fuck right now?What the, what the fuck right now?What if we fuck right now?What if we fucked right in the middleOf this mothafuckin' dinner table?What if we fucked at this Vogue party?Would we be the life of the whole party?Shut down the whole partyWould everybody start fuckin'?Would everybody start fuckin'?Would everybody start fuckin'?They don't want nothin'You mothafuckas livin' like half of your level, half of your lifeI smack her on her ass if she ghetto, I ain't gon' lieWe be in the bathroom fuckin' like ""Baby, don't get too loud!""I can, I can see it, yeah"
I Love Kanye,"[Verse]I miss the old Kanye, straight from the Go KanyeChop up the soul Kanye, set on his goals KanyeI hate the new Kanye, the bad mood KanyeThe always rude Kanye, spaz in the news KanyeI miss the sweet Kanye, chop up the beats KanyeI gotta say, at that time I'd like to meet KanyeSee, I invented Kanye, it wasn't any KanyesAnd now I look and look around and there's so many KanyesI used to love Kanye, I used to love KanyeI even had the pink polo, I thought I was KanyeWhat if Kanye made a song about KanyeCalled ""I Miss The Old Kanye""? Man, that'd be so KanyeThat's all it was Kanye, we still love KanyeAnd I love you like Kanye loves Kanye"
Waves,"[Intro]Turn it up![Verse 1: Kanye West]Step up in this bitch like (Turn it up!)I'm the one your bitch likeYeah, I'm the one your bitch like (Turn it up!)And I be talkin' shit likeI ain't scared to lose a fistfight (Turn it up!)And she grabbin' on my, likeShe wanna see if it'll fit rightThat's just the wave (Turn it up!)[Chorus: Chris Brown, Akon](Yeah) Waves don't dieLet me crash here for the moment, yeahI don't need to own itNo lieWaves don't die, babyLet me crash here for a moment (Yeah, yeah, yeah, yeah)Baby, I don't, I don't need to own you (Turn it up!)[Verse 2: Kanye West]Sun don't shine in the shade, ugh (Turn it up!)Bird can't fly in a cage, ugh (Turn it up!)Even when somebody go away (Turn it up!)The feelings don't really go awayThat's just the wave"
FML,"[Verse 1: Kanye West]I been waiting for a minuteFor my ladySo I can't jeopardize that for one of these hoesI been livin' without limitsAs far as my businessI'm the only one that's in controlI been feeling all I've givenFor my childrenI will die for those I loveGod, I'm willingTo make this my missionGive up the womenBefore I lose half of what I ownI been thinking'Bout my visionPour out my feelingsRevealing the layers to my soulMy soulThe layers to my soulRevealing the layers to my soul[Chorus: The Weeknd]They wish I would go ahead and fuck my life upCan't let them get to meAnd even though I always fuck my life upOnly I can mention me"
Real Friends,"[Verse 1: Kanye West]Real friends, how many of us?How many of us, how many jealous? Real friendsIt's not many of us, we smile at each otherBut how many honest? Trust issuesSwitched up the number, I can't be botheredI cannot blame you for havin' an angleI ain't got no issues, I'm just doin' my thingHope you're doin' your thing tooI'm a deadbeat cousin, I hate family reunionsFuck the church up by drinkin' at the communionSpillin' free wine, now my tux is ruinedIn town for a day, what the fuck we doin'?Who your real friends? We all came from the bottomI'm always blamin' you, but what's sad, you not the problemDamn, I forgot to call her, shit, I thought it was ThursdayWhy you wait a week to call my phone in the first place?When was the last time I remembered a birthday?When was the last time I wasn't in a hurry? Uh[Bridge: Ty Dolla $ign]Tell me you want your tickets when it's gametimeEven to call your daughter on her FaceTimeEven when we was young, I used to make timeNow we be way too busy just to make timeEven for my"
Wolves,"[Produced by Cashmere Cat and Sinjin Hawke][Chorus: Kanye West]Lost out, beat upDancin', down thereI found you, somewhere out'Round 'round there, right right thereLost and beat upDown there, dancin'I found you, somewhere outRight down there, right 'round there[Verse 1: Kanye West]Lost and found outTurned out, how you thoughtDaddy found outThat you turned out how you turned outIf mama knew nowHow you turned out, you too wildYou too wild, you too wildYou too wild, I need you nowLove you (Got to)Love you (Love you)Found you, found youRight now, right nowRight now, right nowIf your mama knew howYou turned out, you too wildYou too wild, you too wildYou too wild, and I need you nowLost and found out"
Frank's Track,
Siiiiiiiiilver Surffffeeeeer Intermission,"[Spoken Word: Max B & French Montana]Yeezy, Yeezy, what's good?It's your boy Max B, what's going on?Just checking in on youAppreciate the love and supportThe wave is hereYou a wavey dude anyway, so you already knowAin't no problem, man, the game...You already know how this game thing goesDo your wave, niggaYou got the official wave, manJust, just doing you...Doing you, doing your waveAnd keep it loopy, I know you're going to keep it loopy, manShoutout, just shout you outHollering at you, man, it's all loveI appreciate the... the energyAnd we here, hit the town, we do something bigWe gon' make a big tsunami up in this jointYou already know what it is, ahhSilver Surfer, Silver Surfer in the fleshSilver Surfer in the fleshMax Biggaveli shout to YeezyWhat's good, I see youIt's love, appreciate itIt's honor, appreciate itOww, wavey, baby, yeah"
30 Hours,"[Intro: Arthur Russell]Baby lion goesWhere the islands go[Verse 1: Kanye West]You say you never saw this comin', well, you're not aloneMillion dollar renovations to a happy homeMy ex says she gave me the best years of her lifeI saw a recent picture of her, I guess she was rightI wake up, assessin' the damagesCheckin' MediaTakeOutPictures of me drunk walkin' out with a bitchBut it's blurry enough to get the fake outI wake up, all veggies no eggsI hit the gym, all chest no legsYep, then I made myself a smoothieYeah, then me and wifey make a movieChicago, St. Louis, St. Louis to ChicagoÁndale, ándale E.I, E.I, uh-ohYou had me drivin' far enough to switch the time zoneYou was the best of all time at the time, thoughYeah, you wasn't mine, though[Chorus: Kanye West]But I still drove thirty hoursAnd I, I still drove thirty hours to you, yeah"
No More Parties In LA,"[Intro: Johnny ""Guitar"" Watson & Junie Morrison]La-di-da-da-a, da-a (I like this flavor)La-da-da-da-di-da-da-a, la-a (La-a, la-a, la-a)Let me tell you, I'm out hereFrom a very far away placeAll for a chance to be a starNowhere seems to be too far[Chorus: Kanye West, Junie Morrison & Ghostface Killah]No more parties in L.APlease, baby, no more parties in L.A., uhNo more parties in L.APlease, baby, no more parties in L.A., uhNo more (Los Angeles)Please (Shake that body, party that bod—)Please (Shake that body, party that bod—)Please (Shake that body, party that body)[Verse 1: Kendrick Lamar & Kanye West]Hey, baby, you forgot your Ray BansAnd my sheets still orange from your spray-tanIt was more than soft porn for the K-ManShe remember my Sprinter, said ""I was in the grape van""Um—well, cutie, I like your bougie bootyCome, Erykah Badu-me—well, let's make a movieHell, you know my repertoire is like a wrestlerI show you the ropes, connect the dotsA country girl in North HollywoodMama used to cook red beans and riceNow it's Denny's, 4 in the morning, spoil your appetiteLiquor pouring and niggas swarming your section with erectionSmoke in every direction, middle finger pedestriansR&B singers and lesbians, rappers and managersMusic and iPhone camerasThis shit unanimous for you, it's damaging for you, I thinkThat pussy should only be holding exclusive rights to me, I meanHe flew you in this motherfucker on first classEven went out his way so you could check in an extra bagNow you wanna divide the yam like it equate the math?That shit don't add up, you're making him mad as fuckShe said she came out here to find an A-list rapperI said, ""Baby, spin that 'round and say the alphabet backwards""You're dealing with malpractice, don't kill a good nigga's confidenceJust 'cause he a nerd and you don't know what a condom isThe head still good, though; the head still good, thoughMake me say ""Nam Myoho Renge Kyo""Make a nigga say big words and act lyricalMake me get spiritual, make me believe in miraclesBuddhist monks and Cap'n Crunch cerealLord have mercy, thou will not hurt meFive buddies all herded up on a ThursdayBottle service, head service, I came in first placeThe opportunity, the proper top of breast and booty cheekThe pop community, I mean these bitches come with union feeAnd I want two of these, moving units through consumer streetsThen my shoe released, she was kickin' in gratuityAnd yeah, G, I was all for itShe said, ""K-Lamar, you kinda dumb to be a poetI'ma put you on game for the lames that don't know they a rookieInstagram is the best way to promote some pussy"""
Facts (Charlie Heat Version),
Fade,"[Intro: Rare Earth]Your love is fadin'Your love is fadin'Your love is fadin'I feel it's fadin'[Chorus: Ty Dolla $ign & Rare Earth]When no one ain't around (I feel it's fadin')I think I think too much (I feel it's fadin')Ain't nobody watchin' (I feel it's fadin')I just fade away[Bridge: Ty Dolla $ign & Rare Earth]I feel itFade awayI feel itI feel itFade away-ay-ay-ayI think I think too muchI feel itYour love is fadin'I feel it[Verse 1: Kanye West + Rare Earth  & Ty Dolla $ign]Roll up, roll up; hold up, hold up; po' up, po' upI feel itI love to... I wanna... I'm tryna...I feel itI'ma rock the boat, work the middle 'til it hurt a littleI feel itYour love is fadin'I feel itFuckin' with a real ass niggaI feel itFuck how you feel, ass niggaI feel itBitch better act like you know betterI feel itWoah"
